# Формат строки:
# id;category;subject;question;answer
1;1;Математика;Сколько будет 7 + 5?;12
2;1;Математика;Сколько будет 9 - 4?;5
3;1;Математика;Сколько будет 6 * 3?;18
4;1;Математика;Сколько будет 24 / 6?;4
5;1;Математика;Сколько будет 15 + 8?;23
6;1;Математика;Сколько будет 30 - 17?;13
7;1;Математика;Сколько будет 5 * 5?;25
8;1;Математика;Сколько будет 36 / 4?;9
9;1;Математика;Сколько будет 12 + 19?;31
10;1;Математика;Сколько будет 8 * 7?;56
11;1;Математика;Сколько минут в одном часе?;60
12;1;Математика;Сколько сантиметров в одном метре?;100
13;1;Математика;Какое число больше: 48 или 84?;84
14;1;Математика;Какое число меньше: 17 или 71?;17
15;1;Математика;Сколько будет 100 - 45?;55
16;1;Математика;Сколько будет 11 + 22?;33
17;1;Математика;Сколько будет 10 * 4?;40
18;1;Математика;Сколько будет 81 / 9?;9
19;1;Математика;Сколько сторон у треугольника?;3
20;1;Математика;Сколько сторон у квадрата?;4
21;2;Русский язык;Сколько букв в русском алфавите?;33
22;2;Русский язык;Какая буква стоит первой в русском алфавите?;а
23;2;Русский язык;Какая буква стоит последней в русском алфавите?;я
24;2;Русский язык;Как пишется слово: малако или молоко?;молоко
25;2;Русский язык;Как пишется слово: сабака или собака?;собака
26;2;Русский язык;Как пишется слово: карова или корова?;корова
27;2;Русский язык;Как пишется слово: заяц или заец?;заяц
28;2;Русский язык;Какое слово является именем существительным: бежать или книга?;книга
29;2;Русский язык;Какое слово является глаголом: читать или стол?;читать
30;2;Русский язык;Какое слово является прилагательным: красивый или окно?;красивый
31;2;Русский язык;Сколько слогов в слове мама?;2
32;2;Русский язык;Сколько слогов в слове молоко?;3
33;2;Русский язык;Подбери антоним к слову высокий.;низкий
34;2;Русский язык;Подбери антоним к слову холодный.;горячий|теплый
35;2;Русский язык;Подбери синоним к слову большой.;огромный|крупный
36;3;Окружающий мир;Как называется планета, на которой мы живём?;земля
37;3;Окружающий мир;Как называется ближайшая к Земле звезда?;солнце
38;3;Окружающий мир;Сколько времён года в году?;4
39;3;Окружающий мир;Какое время года наступает после зимы?;весна
40;3;Окружающий мир;Какое время года наступает после лета?;осень
41;3;Окружающий мир;Сколько дней в обычном году?;365
42;3;Окружающий мир;Сколько дней в неделе?;7
43;3;Окружающий мир;Какой орган помогает человеку дышать?;легкие|лёгкие
44;3;Окружающий мир;Какой орган перекачивает кровь?;сердце
45;3;Окружающий мир;Как называется замёрзшая вода?;лед|лёд
46;3;Окружающий мир;Как называется вода в газообразном состоянии?;пар
47;3;Окружающий мир;Какое животное даёт молоко человеку: корова или волк?;корова
48;3;Окружающий мир;Как называется детёныш кошки?;котенок|котёнок
49;3;Окружающий мир;Как называется детёныш собаки?;щенок
50;3;Окружающий мир;Какой цвет получается при смешивании синего и жёлтого?;зеленый|зелёный
